study_hours,attendance,internal_marks,assignment_marks,previous_marks,participation,project_marks,final_result
5,85,78,80,75,8,82,Pass
2,60,45,40,50,4,42,Fail
6,90,88,85,82,9,87,Pass
3,65,55,50,58,5,53,Fail
7,92,90,88,85,10,90,Pass
4,70,65,60,62,6,63,Pass
1,55,40,35,45,3,38,Fail
8,95,92,90,88,10,92,Pass
5,80,75,72,70,7,74,Pass
2,58,42,38,48,4,40,Fail
6,88,85,82,80,8,84,Pass
3,62,52,48,55,5,50,Fail
7,93,89,87,86,9,88,Pass
4,72,68,65,64,6,66,Pass
1,50,38,32,42,2,35,Fail
8,96,94,92,90,10,94,Pass
5,82,76,74,72,7,75,Pass
2,56,44,36,46,3,39,Fail
6,89,86,83,81,8,85,Pass
3,64,54,49,56,5,52,Fail
7,94,91,89,87,9,90,Pass
4,74,70,67,66,6,68,Pass
1,52,39,33,43,2,36,Fail
8,97,95,93,91,10,95,Pass
5,84,77,75,73,7,76,Pass
2,57,43,37,47,3,38,Fail
6,87,84,81,79,8,83,Pass
3,66,56,51,57,5,54,Fail
7,91,88,86,84,9,87,Pass
4,76,72,69,68,6,70,Pass
1,54,41,34,44,2,37,Fail
8,98,96,94,92,10,96,Pass
5,86,79,76,74,7,77,Pass
2,59,46,39,49,4,41,Fail
6,86,83,80,78,8,82,Pass
3,68,58,53,59,5,56,Pass
7,92,90,88,85,9,89,Pass
4,78,74,71,70,6,72,Pass
1,53,40,35,45,2,38,Fail
8,99,97,95,93,10,97,Pass
5,83,78,73,71,7,75,Pass
2,61,47,41,51,4,43,Fail
6,85,82,79,77,8,81,Pass
3,67,57,52,58,5,55,Fail
7,93,91,89,86,9,90,Pass
4,77,73,70,69,6,71,Pass
1,51,37,31,41,2,34,Fail
8,100,98,96,94,10,98,Pass
5,81,75,72,70,7,73,Pass
2,58,45,38,48,3,40,Fail
6,88,85,82,80,8,84,Pass
3,65,55,50,57,5,53,Fail
7,94,92,90,87,9,91,Pass
4,75,71,68,67,6,69,Pass
1,55,42,36,46,2,39,Fail
8,98,95,93,91,10,95,Pass
5,85,80,77,75,7,78,Pass
2,60,48,42,52,4,44,Fail
6,89,86,83,81,8,85,Pass
3,69,59,54,60,5,57,Pass
7,95,93,91,88,9,92,Pass
4,79,75,72,71,6,73,Pass
1,56,43,37,47,2,40,Fail
8,99,96,94,92,10,96,Pass
5,84,79,76,74,7,77,Pass
2,62,49,43,53,4,45,Fail
6,87,84,81,79,8,83,Pass
3,70,60,55,61,5,58,Pass
7,96,94,92,89,9,93,Pass
4,80,76,73,72,6,74,Pass
1,57,44,38,48,2,41,Fail
8,100,97,95,93,10,97,Pass
5,86,81,78,76,7,79,Pass
2,63,50,44,54,4,46,Fail
6,88,85,82,80,8,84,Pass
3,71,61,56,62,5,59,Pass
7,97,95,93,90,9,94,Pass
4,81,77,74,73,6,75,Pass
1,58,45,39,49,2,42,Fail
8,99,98,96,94,10,98,Pass
5,87,82,79,77,7,80,Pass
2,64,51,45,55,4,47,Fail
6,89,86,83,81,8,85,Pass
3,72,62,57,63,5,60,Pass
7,98,96,94,91,9,95,Pass
4,82,78,75,74,6,76,Pass
1,59,46,40,50,2,43,Fail
8,100,99,97,95,10,99,Pass
5,88,83,80,78,7,81,Pass
2,65,52,46,56,4,48,Fail
6,90,87,84,82,8,86,Pass
3,73,63,58,64,5,61,Pass
7,99,97,95,92,9,96,Pass
4,83,79,76,75,6,77,Pass
1,60,47,41,51,2,44,Fail
8,100,100,98,96,10,100,Pass
5,89,84,81,79,7,82,Pass
2,66,53,47,57,4,49,Fail
6,91,88,85,83,8,87,Pass
3,74,64,59,65,5,62,Pass
